GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
10911,1.918910346,-0.087091968,0.628933977,-0.138475534,0.889864604,0.944452838
3604,0.979985414,0.722410303,0.612067319,1.180279163,0.237889203,0.446734434
11315,5855.597847,-0.173242985,0.091515785,-1.893039378,0.058352633,0.179990793
54206,1289.867953,-0.219366464,0.092920936,-2.360786205,0.018236241,0.08047446
107984915,0.184886473,-0.254934798,1.631573499,-0.156250882,0.875835271,NA
102724539,0.439700192,1.276505471,1.256091821,1.016251718,0.309509534,NA
105376695,0,NA,NA,NA,NA,NA
50651,720.7703587,0.367949422,0.107503442,3.422675718,0.00062008,0.007022181
473,5724.565015,-0.194576291,0.079588549,-2.444777459,0.014494155,0.068228182
102724552,9.304355964,-0.937536802,0.296459423,-3.162445619,0.0015645,0.013944193
106632271,0.226027442,0.248283547,1.28851029,0.192690388,0.847201452,NA
2023,21127.15677,-0.068949749,0.072906661,-0.945726324,0.344288192,0.557733655
102465436,1.457572851,-0.343770146,0.542594346,-0.633567506,0.526363113,0.714678079
100505975,11.21253409,0.090692725,0.222570599,0.407478461,0.683656611,0.824630548
112268261,0.768290566,0.457112469,0.683182084,0.669093174,0.503436044,0.695986931
765,0.543413095,-0.862209607,0.866570607,-0.994967519,0.319752062,0.533868922
155184,0.20001816,0.012011668,1.619609652,0.007416397,0.994082626,NA
6518,492.7829709,-0.657353884,0.24551657,-2.677431847,0.007418894,0.042173188
80045,35.13479584,0.057875489,0.157595673,0.367240346,0.713439747,0.843412243
106614088,146.9898437,0.345025658,0.144679776,2.384753879,0.017090551,0.076896091
407040,0.756961394,0.849992405,0.62674112,1.356209731,0.175032447,0.36872952
102724571,6.551176067,0.265995272,0.305128384,0.871748699,0.383345487,0.596431143
9563,1013.954167,0.348250575,0.13969529,2.492929963,0.012669383,0.061988171
80176,365.6261755,0.040778866,0.199661329,0.204240179,0.838165815,0.917194775
100506022,57.66174272,0.831946417,0.212236634,3.919900172,8.86E-05,0.001655342
84275,952.6643232,-0.118642006,0.097330256,-1.218963259,0.222858138,0.42872747
199953,703.3454996,0.329388317,0.082638487,3.985894837,6.72E-05,0.001338534
107985734,23.17371085,-0.181288848,0.19349468,-0.93691903,0.34880021,0.562549086
105376712,0.017637093,0.113397685,3.225584499,0.035155701,0.971955586,NA
5293,1761.953749,-0.111356542,0.131889358,-0.844317873,0.398491801,0.610209399
644997,0.696535966,-0.045594898,0.893690057,-0.051018692,0.959310626,0.980083862
101929074,3.773984142,-1.098177798,0.303958353,-3.612921922,0.000302766,0.004147057
22883,24311.48921,0.264547295,0.113108938,2.338871713,0.019342074,0.083955653
56998,1640.569743,0.416245734,0.087779919,4.741924321,2.12E-06,9.52E-05
105376717,38.92022022,0.769706466,0.172525095,4.461417437,8.14E-06,0.0002789
84328,1416.737824,-0.140152929,0.083413869,-1.680211343,0.092916203,0.244451114
64802,316.9468664,-0.048474479,0.071861498,-0.67455426,0.499959002,0.693250292
113391335,2.837484057,0.366280481,0.489874874,0.747702118,0.454639853,0.657455281
100847055,0.329688319,0.021360613,1.272043057,0.016792366,0.98660226,NA
116362,143.6720333,0.614772771,0.320760734,1.916608569,0.055287679,0.173899168
10277,2414.738277,0.152072449,0.071597064,2.124003976,0.033669811,0.123777803
23095,15405.45122,0.23506127,0.090968222,2.583993228,0.009766371,0.051162314
105376725,17.80878494,0.523352829,0.260286764,2.010677843,0.044359496,0.150271678
5226,2186.27182,0.033121115,0.061449101,0.539000804,0.5898863,0.76085275
100526739,266.8792877,0.14203603,0.15803594,0.898757776,0.368781695,0.582588509
378708,163.4291379,-0.148390622,0.122392765,-1.212413349,0.225354193,0.431806887
1325,181.4808852,0.336643502,0.182487213,1.844751182,0.065073742,0.194090564
1676,1355.427061,0.040679067,0.078002105,0.521512427,0.602009851,0.769528355
5195,945.4899237,0.170508466,0.085060088,2.004564899,0.045009582,0.15166587
54897,96.15019927,0.018250776,0.143073821,0.127561952,0.898495643,0.948802405
105376733,0,NA,NA,NA,NA,NA
105376735,0.13400822,0.589291758,2.053125944,0.287021729,0.774095683,NA
148345,3.508594319,0.070506576,0.344696534,0.204546808,0.837926218,0.917112668
23435,5269.170805,-0.157451754,0.06006377,-2.621409774,0.008756694,0.047438662
10747,310.6415315,0.198375702,0.118462301,1.674589303,0.094014839,0.246423989
